station_code,Vs30
IWT002,344.6667
IWT003,218.3333
IWT004,193.3333
IWT005,441.6667
IWT006,392.6667
IWT007,372.3333
IWT008,1223.3333
IWT009,777.3333
IWT010,528.6667
IWT011,250.0
IWT012,238.6667
IWT013,365.0
IWT014,313.3333
IWT015,430.0
IWT016,496.0
IWT017,506.6667
IWT018,381.3333
IWT019,1405.6667
IWT020,106.0
IWT021,261.3333
IWT022,525.0
IWT023,614.0
IWT024,463.0
IWT025,406.0
IWT026,285.4367
KGS001,384.6667
KGS002,515.6667
KGS003,312.6667
KGS004,177.0
KGS005,370.0
KGS006,331.0
KGS007,201.6667
KGS008,312.6667
KGS009,198.0
KGS010,272.3333
KGS011,266.0
KGS012,197.0
KGS013,443.6667
KGS014,265.0
KGS015,278.6667
KGS016,319.3333
KGS017,249.6667
KGS018,234.0
KGS019,420.6667
KGS020,384.0
KGS021,236.3333
KGS022,451.6667
KGS023,238.6667
KGS024,446.3333
KGS025,841.6667
KGS026,394.6667
KGS027,418.6667
KGS028,355.3333
KGS029,689.3333
KGS030,340.0
KGS031,354.3333
KGS032,526.0
KGS033,301.3333
KGS034,785.0
KGS035,601.3333
KGS036,194.3333
KGS037,418.0
KGW001,292.0
KGW002,253.6667
KGW003,402.0
KGW004,140.7293
KGW005,180.6667
KGW006,350.0
KGW007,425.0
KGW008,367.3333
KMM001,591.6667
KMM002,404.0
KMM003,276.0
KMM004,297.3333
KMM005,449.0
KMM006,228.6667
KMM007,394.3333
KMM008,233.6667
KMM009,387.3333
KMM010,161.0
KMM011,261.6667
KMM012,190.3333
KMM013,449.0
KMM014,1439.3333
KMM015,371.6667
KMM016,226.0
KMM017,411.0
KMM018,547.0
KMM019,702.3333
KMM020,612.0
KMM021,204.0
KMM022,613.0
KNG001,137.8333
KNG002,100.0
KNG003,561.0
KNG004,363.5
KNG005,518.6667
KNG006,338.1667
KNG007,446.0
KNG008,366.1667
KNG009,179.5
KNG010,235.3333
KNG011,578.3333
KNG012,481.6667
KNG013,79.1667
KNG014,409.8333
KOC001,283.0
KOC002,227.3333
KOC003,241.0
KOC004,452.0
KOC005,557.6667
KOC006,233.6667
KOC007,172.0
KOC008,993.3333
KOC009,644.0
KOC010,397.3333
KOC011,1017.5667
KOC012,424.0
KOC013,203.3333
KOC014,191.0
KOC015,148.0
KOC016,611.6667
KOC017,1033.0
KYT001,533.3333
KYT002,122.0
KYT003,586.6667
KYT004,150.6667
KYT005,1240.3333
KYT006,502.0
KYT007,659.3333
KYT008,613.3333
KYT009,707.3333
KYT010,524.6667
KYT011,371.3333
KYT012,531.057
KYT013,352.6667
KYT014,697.3333
KYT015,98.7153
MIE001,524.0
MIE002,253.0
MIE003,221.3333
MIE004,449.0
MIE005,494.6667
MIE006,232.6667
MIE007,617.0
MIE008,292.6667
MIE009,203.6667
MIE010,265.0
MIE011,856.6667
MIE012,734.6667
MIE013,212.0
MIE014,1013.3333
MIE015,484.6667
MIE016,586.0
MIE017,576.6667
MIE018,482.76800000000003
MYG001,460.0
MYG002,494.3333
MYG003,524.6667
MYG004,293.0
MYG005,366.0
MYG006,156.0
MYG007,428.3333
MYG008,618.0
MYG009,592.6667
MYG010,166.0
MYG011,1687.3333
MYG012,664.0
MYG013,330.6667
MYG014,402.0
MYG015,216.6667
MYG016,504.0
MYG017,148.3333
MYG018,422.3333
MYG019,230.3333
MYZ001,427.6667
MYZ002,569.0
MYZ003,306.6667
MYZ004,675.3333
MYZ005,974.6667
MYZ006,510.6667
MYZ007,573.0
MYZ008,405.6667
MYZ009,205.3333
MYZ010,294.6667
MYZ011,336.0
MYZ012,630.3333
MYZ013,178.0
MYZ014,247.6667
MYZ015,345.3333
MYZ016,329.0
MYZ017,408.0
MYZ018,385.0
MYZ019,757.3333
MYZ020,505.3333
NAR001,367.3333
NAR002,339.3333
NAR003,228.6667
NAR004,428.3333
NAR005,334.0
NAR006,584.6667
NAR007,598.6667
NAR008,608.6667
NAR009,473.0
NGN001,288.3333
NGN002,308.8333
NGN003,536.0
NGN004,456.3333
NGN005,532.6667
NGN006,390.3333
NGN007,346.3333
NGN008,543.0
NGN009,406.3333
NGN010,307.1667
NGN011,569.6667
NGN012,545.0
NGN013,847.3333
NGN014,321.0
NGN015,185.0
NGN016,264.6667
NGN017,420.0
NGN018,433.6667
NGN019,314.6667
NGN020,600.5
NGN021,542.3333
NGN022,479.3333
NGN023,499.1667
NGN024,265.5
NGN025,355.3333
NGS001,237.6667
NGS002,160.3333
NGS003,505.0
NGS004,552.0
NGS005,480.0
NGS006,626.6667
NGS007,487.0
NGS008,842.6667
NGS009,354.3333
NGS010,375.6667
NGS011,780.0
NGS012,366.6667
NGS013,578.0
NGS014,286.0
NGS015,594.0
NGS016,460.3333
NGS017,470.0
NGS018,733.0
NGS019,193.3333
NGS020,961.6667
NGS021,469.0
NGS022,493.6667
NGS023,255.0
NIG001,923.3333
NIG002,261.3333
NIG003,206.0
NIG004,309.6667
NIG005,305.0
NIG006,191.3333
NIG007,281.3333
NIG008,279.6667
NIG009,175.3333
NIG010,127.2667
NIG011,153.0
NIG012,216.6667
NIG013,170.0
NIG014,131.0
NIG015,460.3333
NIG016,311.0
NIG017,307.0
NIG018,189.0
NIG019,414.3333
NIG020,429.3333
NIG021,420.3333
NIG022,207.0
NIG023,625.6667
NIG024,385.3333
NIG025,127.0
NIG026,278.3333
NIG027,444.0
OIT001,487.3333
OIT002,392.6667
OIT003,418.6667
OIT004,306.6667
OIT005,764.6667
OIT006,902.6667
OIT007,334.3333
OIT008,492.0
OIT009,212.6667
OIT010,239.0
OIT011,202.3333
OIT012,737.6667
OIT013,1102.6667
OIT014,524.0
OIT015,404.6667
OIT016,166.6667
OIT017,1006.3333
OIT018,1215.0
OKN001,365.6667
OKN002,372.6667
OKN003,342.0
OKN004,257.3333
OKN005,348.3333
OKN006,518.3333
OKN007,360.0
OKN008,526.3333
OKN009,302.6667
OKN010,546.3333
OKN011,553.0
OKY001,402.6667
OKY002,483.0
OKY003,573.3333
OKY004,466.6667
OKY005,378.6667
OKY006,441.0
OKY007,492.0
OKY008,470.0
OKY009,590.6667
OKY010,360.0
OKY011,237.3333
OKY012,262.0
OKY013,587.3333
OKY014,407.0
OKY015,403.3333
OSK001,303.3333
OSK002,312.0
OSK003,236.3333
OSK004,243.0
OSK005,292.0
OSK006,214.0
OSK007,377.0
OSK008,262.0
OSK009,528.0
OSK010,232.6667
SAG001,932.0
SAG002,223.9
SAG003,327.0
SAG004,420.0
SAG005,482.0
SAG006,376.3333
SAG007,151.6667
SAG008,513.6667
SIG001,347.0
SIG002,425.3333
SIG003,241.6667
SIG004,358.6667
SIG005,241.0
SIG006,388.6667
SIG007,227.3907
SIG008,397.6667
SIG009,237.3333
SIG010,385.3333
SIG011,265.6667
SIG012,584.6667
SIT001,340.0
SIT002,305.6667
SIT003,89.6
SIT004,333.3333
SIT005,225.6667
SIT006,895.6667
SIT007,643.6667
SIT008,160.0
SIT009,333.0
SIT010,146.6667
SIT011,121.0
SIT012,778.5
SIT013,260.8333
SIT014,365.6667
SMN001,328.0
SMN002,152.0
SMN003,421.0
SMN004,446.0
SMN005,174.0
SMN006,524.0
SMN007,368.6667
SMN008,375.0
SMN009,375.3333
SMN010,716.3333
SMN011,925.0
SMN012,466.0
SMN013,608.0
SMN014,304.0
SMN015,470.0
SMN016,283.3333
SMN017,392.0
SMN018,287.6667
SMN019,235.3333
SMN020,786.8187
SZO001,396.0
SZO002,289.8333
SZO003,194.0
SZO004,772.3333
SZO005,216.6667
SZO006,541.6667
SZO007,414.0
SZO008,357.0
SZO009,589.6667
SZO010,265.0
SZO011,316.7133
SZO012,384.0
